Accession_STEPdb_2.0,Protein_ID_STEPdb_2.0,1ary_Gene_Name,STEPdb_Universal_Name,Uniprot_Protein_Name,STEPdb_Sub-cellular_Location_Full Name,STEPdb_Sub-cellular_Location_Letter Code,sub-cellular_topology_group,SRP_interactome_Schibich2016,TF_interactome_Oh2011,SecA_interactome_Huber2016,DnaK_client_Calloni2012,DnaK_client_Arifuzzaman2016,DnaK_client_Niwa2009,TF_client_Martinez2009,TF_client_Butland2005,TF_client_Arifuzzaman2006,TF_client_Niwa2009,GroEL_client_Kerner2005,GroEL_client_Arifuzzaman2006,GroEL_client_Chapman2006,GroEL_client_Niwa2009,SecB_client_Stepdb1.0,SecB_client_additional_data
P0AAH0,PSTB_ECOLI,pstB,"cytoplasmic peripheral IM protein, Phosphate import ATP-binding PstB ",Phosphate import ATP-binding protein PstB (EC 7.3.2.1) (ABC phosphate transporter) (Phosphate-transporting ATPase),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,YES,,YES,,YES,,,,,YES,YES,,YES,,
P0AAH4,SAPD_ECOLI,sapD,"cytoplasmic peripheral IM protein, Putrescine export system ATP-binding SapD ",Putrescine export system ATP-binding protein SapD,"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,,,,,,,,YES,,,,
P0AAH8,SAPF_ECOLI,sapF,"cytoplasmic peripheral IM protein, Putrescine export system ATP-binding SapF ",Putrescine export system ATP-binding protein SapF,"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,YES,,,,,,,,,,,,,,
P0AAI1,SSUB_ECOLI,ssuB,"cytoplasmic peripheral IM protein, Aliphatic sulfonates import ATP-binding SsuB",Aliphatic sulfonates import ATP-binding protein SsuB (EC 3.6.3.-),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,YES,,,,,,,YES,,,,
P0AAI3,FTSH_ECOLI,ftsH,"integral IM protein (SEC in IM), ATP-dependent zinc metalloprotease FtsH",ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-) (Cell division protease FtsH),Integral Inner Membrane ,B,Integral Inner Membrane,YES,YES,,,,,,,YES,,,,,,,
P0AAI5,FABF_ECOLI,fabF,"cytoplasmic peripheral IM protein, 3-oxoacyl-(acyl-carrier-protein) synthase 2 FabF",3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179) (3-oxoacyl-[acyl-carrier-protein] synthase II) (Beta-ketoacyl-ACP synthase II) (KAS II),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,NO,YES,,YES,,YES,,,,,YES,,,,,
P0AAI9,FABD_ECOLI,fabD,"cytoplasmic protein, Malonyl CoA-acyl carrier transacylase FabD",Malonyl CoA-acyl carrier protein transacylase (MCT) (EC 2.3.1.39),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0AAJ1,YNFG_ECOLI,ynfG,"periplasmic peripheral IM protein (TAT via piggyback through IM), Probable anaerobic dimethyl sulfoxide reductase chain YnfG ",Probable anaerobic dimethyl sulfoxide reductase chain YnfG (DMSO reductase iron-sulfur subunit YnfG),Peripheral inner membrane protein facing the periplasm,F2,Secreted,,,,,,,,,,,,,,,,
P0AAJ3,FDNH_ECOLI,fdnH,"integral IM protein (SEC in IM), Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit FdnH","Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit (Anaerobic formate dehydrogenase iron-sulfur subunit) (Formate dehydrogenase-N subunit beta) (FDH-N subunit beta)",Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,YES,,,,
P0AAJ5,FDOH_ECOLI,fdoH,"cytoplasmic peripheral IM protein, Formate dehydrogenase-O iron-sulfur subunit FdoH",Formate dehydrogenase-O iron-sulfur subunit (Aerobic formate dehydrogenase iron-sulfur subunit) (FDH-Z subunit beta) (Formate dehydrogenase-O subunit beta),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,YES,,,,,,,,,,,,
P0AAJ8,HYBA_ECOLI,hybA,"periplasmic peripheral IM protein (TAT-SEC through IM), Hydrogenase-2 operon HybA",Hydrogenase-2 operon protein HybA,Peripheral inner membrane protein facing the periplasm,F2,Secreted,,YES,,YES,,,,,,,,YES,,,,
P0AAK1,HYCB_ECOLI,hycB,"cytoplasmic protein, Formate hydrogenlyase subunit 2 HycB",Formate hydrogenlyase subunit 2 (FHL subunit 2) (Hydrogenase-3 component B),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0AAK4,HYDN_ECOLI,hydN,"cytoplasmic protein, Electron transport HydN",Electron transport protein HydN,Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,YES,,,,
P0AAK7,NRFC_ECOLI,nrfC,"periplasmic protein (TAT through IM), NrfC",Protein NrfC,Periplasmic,G,Secreted,,,,,,,,,,,,YES,,,,
P0AAL0,NAPF_ECOLI,napF,"cytoplasmic protein, Ferredoxin-type NapF",Ferredoxin-type protein NapF,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,YES,,
P0AAL3,NAPG_ECOLI,napG,"periplasmic protein (TAT through IM), Ferredoxin-type NapG",Ferredoxin-type protein NapG (Ubiquinol--[NapC cytochrome c] reductase NapG subunit),Periplasmic,G,Secreted,,,YES,,,,,,,,,,,,,
P0AAL6,YDHY_ECOLI,ydhY,"cytoplasmic peripheral IM protein, Ferredoxin-like YdhY",Uncharacterized ferredoxin-like protein YdhY,"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,,,,,,,,,,,,
P0AAL9,YKGJ_ECOLI,ykgJ,"periplasmic protein (SEC through IM), YkgJ",Uncharacterized protein YkgJ,Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P0AAM1,CYBH_ECOLI,hyaC,"integral IM protein (SEC in IM), Probable Ni/Fe-hydrogenase 1 B-type cytochrome subunit HyaC",Probable Ni/Fe-hydrogenase 1 B-type cytochrome subunit,Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P0AAM3,HYPC_ECOLI,hypC,"cytoplasmic protein, Hydrogenase maturation factor HypC",Hydrogenase maturation factor HypC (Chaperone-type protein HypC) (Hydrogenase accessory chaperone HypC),Cytoplasmic,A,Cytoplasmic,,,,,,,,YES,,,,,,,,
P0AAM7,HYBG_ECOLI,hybG,"cytoplasmic protein, Hydrogenase maturation factor HybG",Hydrogenase maturation factor HybG (Hydrogenase-2 operon protein HybG),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0AAN1,HYBE_ECOLI,hybE,"cytoplasmic protein, Hydrogenase-2 operon HybE",Hydrogenase-2 operon protein HybE,Cytoplasmic,A,Cytoplasmic,,YES,,,,,,,,,,YES,,,,
P0AAN3,HYPB_ECOLI,hypB,"cytoplasmic protein, Hydrogenase maturation factor HypB",Hydrogenase maturation factor HypB (Hydrogenase isoenzymes nickel incorporation protein HypB),Cytoplasmic,A,Cytoplasmic,,YES,,YES,,,,,,,,,,,,
P0AAN5,YAIA_ECOLI,yaiA,"cytoplasmic protein, YaiA",Uncharacterized protein YaiA,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0AAN9,IRAP_ECOLI,iraP,"cytoplasmic protein, Anti-adapter IraP",Anti-adapter protein IraP,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0AAP1,DGCC_ECOLI,dgcC,"integral IM protein (SEC in IM), Probable diguanylate cyclase DgcC",Probable diguanylate cyclase DgcC (DGC) (EC 2.7.7.65),Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P0AAP3,FRMR_ECOLI,frmR,"cytoplasmic protein, Transcriptional repressor FrmR",Transcriptional repressor FrmR,"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,,,,,,,,,,,,,,
P0AAP5,IPRA_ECOLI,iprA,"cytoplasmic protein, Inhibitor of hydrogen peroxide resistance IprA",Inhibitor of hydrogen peroxide resistance,Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,YES,,,,
P0AAP7,YAIY_ECOLI,yaiY,"integral IM protein (SEC in IM), YaiY",Inner membrane protein YaiY,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,YES,,,,,,,,,,,,,
P0AAQ0,YAIZ_ECOLI,yaiZ,"integral IM protein (SEC in IM), YaiZ",Uncharacterized protein YaiZ,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P0AAQ2,YAJD_ECOLI,yajD,"cytoplasmic protein, Putative HNH nuclease YajD ",Putative HNH nuclease YajD (EC 3.1.-.-),Cytoplasmic,A,Cytoplasmic,,,,,YES,,,,,,,YES,,,,
P0AAQ6,YBAA_ECOLI,ybaA,"cytoplasmic protein, YbaA",Uncharacterized protein YbaA,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0AAR0,TOMB_ECOLI,tomB,"cytoplasmic protein, Hha toxicity modulator TomB",Hha toxicity modulator TomB (Toxin overexpression modulator in biofilms),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0AAR3,YBAK_ECOLI,ybaK,"cytoplasmic protein, Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK",Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK (EC 4.2.-.-),Cytoplasmic,A,Cytoplasmic,,,,,YES,,,,,,YES,,,,,
P0AAR5,YBAN_ECOLI,ybaN,"integral IM protein (SEC in IM), YbaN",Inner membrane protein YbaN,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P0AAR8,YBAV_ECOLI,ybaV,"periplasmic protein (SEC through IM), YbaV",Uncharacterized protein YbaV,Periplasmic,G,Secreted,,YES,,,,,,,,,,,,,,
P0AAS0,YLAC_ECOLI,ylaC,"integral IM protein (SEC in IM), YlaC",Inner membrane protein YlaC,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,YES,,YES,,,,,,,,,,,
P0AAS3,YBBJ_ECOLI,ybbJ,"integral IM protein (SEC in IM), YbbJ",Inner membrane protein YbbJ,Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P0AAS5,YLBF_ECOLI,ylbF,"cytoplasmic protein, YlbF",Uncharacterized protein YlbF,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,YES,,,,
P0AAS7,YBCJ_ECOLI,ybcJ,"cytoplasmic protein, YbcJ",Uncharacterized protein YbcJ,Cytoplasmic,A,Cytoplasmic,,,,,YES,,,,,,,,,,,
P0AAS9,YBDD_ECOLI,ybdD,"cytoplasmic protein, YbdD",Uncharacterized protein YbdD,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0AAT2,YBDF_ECOLI,ybdF,"cytoplasmic protein, YbdF",Uncharacterized protein YbdF,Cytoplasmic,A,Cytoplasmic,YES,,YES,,,,,,,,,YES,,,,
P0AAT4,YBDG_ECOLI,ybdG,"integral IM protein (SEC in IM), Miniconductance mechanosensitive channel YbdG ",Miniconductance mechanosensitive channel YbdG,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,YES,,,,
P0AAT6,IOJAP_ECOLI,rsfS,"cytoplasmic protein, Ribosomal silencing factor RsfS ",Ribosomal silencing factor RsfS,Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,,,,,
P0AAT9,YBEL_ECOLI,ybeL,"cytoplasmic protein, YbeL",Uncharacterized protein YbeL,Cytoplasmic,A,Cytoplasmic,,,,YES,,,,,,,,YES,,,,
P0AAU2,YBFA_ECOLI,ybfA,"integral IM protein (SEC in IM), YbfA",Uncharacterized protein YbfA,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P0AAU5,YBFB_ECOLI,ybfB,"integral IM protein (SEC in IM), YbfB",Uncharacterized protein YbfB,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P0AAU7,YBFE_ECOLI,ybfE,"cytoplasmic protein, YbfE",Uncharacterized protein YbfE,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0AAV0,YBGE_ECOLI,ybgE,"integral IM protein (SEC in IM), YbgE",Uncharacterized protein YbgE,Integral Inner Membrane ,B,Integral Inner Membrane,YES,YES,YES,,,,,,,,,,,,,
P0AAV4,YBGJ_ECOLI,ybgJ,"cytoplasmic protein, 5-oxoprolinase subunit B YbgJ",5-oxoprolinase subunit B (5-OPase subunit B) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit B),Cytoplasmic,A,Cytoplasmic,,,YES,,,YES,,,,,,YES,,YES,,
P0AAV6,YBGS_ECOLI,ybgS,"periplasmic protein (SEC through IM), YbgS",Uncharacterized protein YbgS,Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P0AAV8,YBHH_ECOLI,ybhH,"cytoplasmic protein, Putative isomerase YbhH ",Putative isomerase YbhH (EC 5.-.-.-),Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,,,,,
P0AAW1,YBHP_ECOLI,ybhP,"cytoplasmic protein, YbhP",Uncharacterized protein YbhP,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,YES,,,,
P0AAW5,YBHQ_ECOLI,ybhQ,"integral IM protein (SEC in IM), YbhQ",Inner membrane protein YbhQ,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P0AAW9,ACRZ_ECOLI,acrZ,"integral IM protein (SEC-YidC in IM), Multidrug efflux pump accessory AcrZ ",Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z),Integral Inner Membrane ,B,Integral Inner Membrane,NO,,YES,,,,,,,,,,,,,
P0AAX3,YBIJ_ECOLI,ybiJ,"periplasmic protein (SEC through IM), YbiJ",Uncharacterized protein YbiJ,Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P0AAX6,MCBA_ECOLI,mcbA,"periplasmic protein (SEC through IM), McbA",Uncharacterized protein McbA (MqsR-controlled colanic acid and biofilm protein A),Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P0AAX8,YBIS_ECOLI,ybiS,"periplasmic peripheral OM protein (SEC through IM), Probable L,D-transpeptidase YbiS","Probable L,D-transpeptidase YbiS (EC 2.-.-.-)",Peripheral outer membrane protein facing the periplasm,F3,Secreted,NO,,,YES,YES,,,,,,,,,,,
P0AAY1,BSSR_ECOLI,bssR,"cytoplasmic protein, Biofilm regulator BssR",Biofilm regulator BssR,Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,,,,,
P0AAY4,YBJH_ECOLI,ybjH,"periplasmic protein (SEC through IM), YbjH",Uncharacterized protein YbjH,Periplasmic,G,Secreted,,,YES,,,,,,,,,,,,,
P0AAY6,YBJN_ECOLI,ybjN,"cytoplasmic protein, YbjN",Uncharacterized protein YbjN,Cytoplasmic,A,Cytoplasmic,,,,YES,,,,,,,,,,,,
P0AAZ0,YBJO_ECOLI,ybjO,"integral IM protein (SEC in IM), YbjO",Inner membrane protein YbjO,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P0AAZ4,RARA_ECOLI,rarA,"cytoplasmic protein, Replication-associated recombination A RarA",Replication-associated recombination protein A,Cytoplasmic,A,Cytoplasmic,,,,YES,,,,,,,YES,,,,,
P0AAZ7,YCAR_ECOLI,ycaR,"cytoplasmic protein, UPF0434 YcaR",UPF0434 protein YcaR,Cytoplasmic,A,Cytoplasmic,,,,YES,,,,,,,,,,,,
P0AB01,ELYC_ECOLI,elyC,"integral IM protein (SEC in IM), Envelope biogenesis factor ElyC",Envelope biogenesis factor ElyC (Elevated frequency of lysis),Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P0AB03,YCBJ_ECOLI,ycbJ,"cytoplasmic protein, YcbJ",Uncharacterized protein YcbJ,Cytoplasmic,A,Cytoplasmic,,YES,,,,,,,,,,YES,,YES,,
P0AB06,YCBK_ECOLI,ycbK,"periplasmic protein (TAT through IM), YcbK",Uncharacterized protein YcbK,Periplasmic,G,Secreted,,,YES,,,,,,,,,YES,,,,
P0AB10,YMBA_ECOLI,ymbA,"IM lipoprotein (SEC through IM), inserted in OM by LOL), Intertransport PqiC YmbA",Intermembrane transport lipoprotein PqiC,Inner Membrane Lipoprotein,E,Secreted,,,,,,,,,,,,,,,,
P0AB12,YCCF_ECOLI,yccF,"integral IM protein (SEC in IM), YccF",Inner membrane protein YccF,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P0AB14,YCCJ_ECOLI,yccJ,"cytoplasmic protein, YccJ",Uncharacterized protein YccJ,Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,,,,,
P0AB18,TUSE_ECOLI,tusE,"cytoplasmic protein, Sulfurtransferase TusE ",Sulfurtransferase TusE (EC 2.8.1.-) (tRNA 2-thiouridine synthesizing protein E),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0AB20,HSPQ_ECOLI,hspQ,"cytoplasmic protein, HspQ",Heat shock protein HspQ,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0AB24,EFEO_ECOLI,efeO,"periplasmic protein (SEC through IM), Iron uptake system component EfeO ",Iron uptake system component EfeO,Periplasmic,G,Secreted,,YES,,,YES,,,,,,,,,,,
P0AB26,YCEB_ECOLI,yceB,"OM lipoprotein (SEC through IM, inserted in OM by LOL), YceB",Uncharacterized lipoprotein YceB,Outer Membrane Lipoprotein,I,Secreted,,,,YES,,,,,,,,,,,,
P0AB28,YCED_ECOLI,yceD,"cytoplasmic protein, Large ribosomal RNA subunit accumulation YceD ",Large ribosomal RNA subunit accumulation protein YceD (23S rRNA accumulation protein YceD) (G30K),Cytoplasmic,A,Cytoplasmic,NO,,,YES,,,,,,,,,,,,
P0AB31,YCEK_ECOLI,yceK,"OM lipoprotein (SEC through IM, inserted in OM by LOL), YceK",Uncharacterized protein YceK,Outer Membrane Lipoprotein,I,Secreted,,,,,,,,,,,,,,,,
P0AB33,BSSS_ECOLI,bssS,"cytoplasmic protein, Biofilm regulator BssS",Biofilm regulator BssS,Cytoplasmic,A,Cytoplasmic,,YES,,,YES,,,,,,,,,,,
P0AB35,YCFJ_ECOLI,ycfJ,"integral IM protein (SEC in IM), YcfJ",Uncharacterized protein YcfJ,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P0AB38,LPOB_ECOLI,lpoB,"OM lipoprotein (SEC through IM), inserted in OM by LOL), Penicillin-binding activator LpoB ",Penicillin-binding protein activator LpoB (PBP activator LpoB) (Lipoprotein activator of PBP from the outer membrane B),Outer Membrane Lipoprotein,I,Secreted,NO,,YES,YES,,,,,,,,,,,,
P0AB40,BHSA_ECOLI,bhsA,"periplasmic peripheral OM protein (SEC through IM), Multiple stress resistance BhsA ",Multiple stress resistance protein BhsA (Copper-induced outer membrane component),Peripheral outer membrane protein facing the periplasm,F3,Secreted,,,,,,,,,,,,,,,,
P0AB43,YCGL_ECOLI,ycgL,"cytoplasmic protein, YcgL",Protein YcgL,Cytoplasmic,A,Cytoplasmic,NO,,,YES,YES,,,,YES,,,,,,,
P0AB46,YMGD_ECOLI,ymgD,"periplasmic protein (SEC through IM), YmgD",Uncharacterized protein YmgD,Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P0AB49,YCHH_ECOLI,ychH,"integral IM protein (SEC in IM), YchH",Uncharacterized protein YchH,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P0AB52,YCHN_ECOLI,ychN,"cytoplasmic protein, YchN",Protein YchN,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0AB55,YCII_ECOLI,yciI,"cytoplasmic protein, YciI",Protein YciI,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0AB58,LAPB_ECOLI,LapB,"integral IM protein (SEC in IM), polysaccharide assembly B LapB",Lipopolysaccharide assembly protein B (Lipopolysaccharide regulatory protein),Integral Inner Membrane ,B,Integral Inner Membrane,,YES,,,,,,,,,,,,,,
P0AB61,YCIN_ECOLI,yciN,"cytoplasmic protein, YciN",Protein YciN,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0AB65,ACYP_ECOLI,yccX,"cytoplasmic protein, Acylphosphatase YccX",Acylphosphatase (EC 3.6.1.7) (Acylphosphate phosphohydrolase),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,YES,,,,
P0AB67,PNTB_ECOLI,pntB,"integral IM protein (SEC in IM), NAD(P) transhydrogenase subunit beta PntB",NAD(P) transhydrogenase subunit beta (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase subunit beta) (Pyridine nucleotide transhydrogenase subunit beta),Integral Inner Membrane ,B,Integral Inner Membrane,YES,YES,YES,,,,,,,,,,,,,
P0AB71,ALF_ECOLI,fbaA,"cytoplasmic peripheral IM protein, Fructose-bisphosphate aldolase class 2 FbaA","Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II)","Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,NO,,,YES,,,,,,,YES,,,,,
P0AB74,KBAY_ECOLI,kbaY,"cytoplasmic protein, D-tagatose-1,6-bisphosphate aldolase subunit KbaY","D-tagatose-1,6-bisphosphate aldolase subunit KbaY (TBPA) (TagBP aldolase) (EC 4.1.2.40) (D-tagatose-bisphosphate aldolase class II) (Ketose 1,6-bisphosphate aldolase class II) (Tagatose-bisphosphate aldolase)",Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,,,YES,,
P0AB77,KBL_ECOLI,kbl,"cytoplasmic peripheral IM protein, 2-amino-3-ketobutyrate coenzyme A ligase Kbl",2-amino-3-ketobutyrate coenzyme A ligase (AKB ligase) (EC 2.3.1.29) (Glycine acetyltransferase),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,YES,,,,,,,,,,YES,,,,
P0AB80,ILVE_ECOLI,ilvE,"cytoplasmic protein, Branched-chain-amino-acid aminotransferase IlvE",Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42) (Transaminase B),Cytoplasmic,A,Cytoplasmic,,YES,,YES,,,,,,,,,,,,
P0AB83,END3_ECOLI,nth,"cytoplasmic protein, Endonuclease III Nth",Endonuclease III (EC 4.2.99.18) (DNA-(apurinic or apyrimidinic site) lyase),Cytoplasmic,A,Cytoplasmic,,,YES,,YES,,,,,,,,,,,
P0AB85,APBE_ECOLI,apbE,"IM lipoprotein (SEC through IM), inserted in OM by LOL), FAD:FMN transferase ApbE",FAD:protein FMN transferase (EC 2.7.1.180) (Flavin transferase),Inner Membrane Lipoprotein,E,Secreted,,,,,,,,,,,,,,,,
P0AB87,FUCA_ECOLI,fucA,"cytoplasmic protein, L-fuculose phosphate aldolase FucA",L-fuculose phosphate aldolase (EC 4.1.2.17) (D-ribulose-phosphate aldolase) (L-fuculose-1-phosphate aldolase),Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,,,,,
P0AB89,PUR8_ECOLI,purB,"cytoplasmic peripheral IM protein, Adenylosuccinate lyase PurB",Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,NO,,YES,YES,,,,,,,,,,,,
P0AB91,AROG_ECOLI,aroG,"cytoplasmic protein, Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive AroG","Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)",Cytoplasmic,A,Cytoplasmic,NO,YES,,,YES,,,,,,,,,,,
P0AB93,ARSB_ECOLI,arsB,"integral IM protein (SEC in IM), Arsenical pump ArsB",Arsenical pump membrane protein (Arsenic efflux pump protein),Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P0AB96,ARSC_ECOLI,arsC,"cytoplasmic protein, Arsenate reductase ArsC",Arsenate reductase (EC 1.20.4.1) (Arsenical pump modifier),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0AB98,ATP6_ECOLI,atpB,"integral IM protein (SEC-YidC in IM), ATP synthase subunit a AtpB",ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6),Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P0ABA0,ATPF_ECOLI,atpF,"integral IM protein (SEC in IM), ATP synthase subunit b AtpF",ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b),Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,YES,,,,,,,,,,,,
P0ABA4,ATPD_ECOLI,atpH,"cytoplasmic peripheral IM protein, ATP synthase subunit delta AtpH",ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,YES,,,,,,,,,,,
P0ABA6,ATPG_ECOLI,atpG,"cytoplasmic peripheral IM protein, ATP synthase gamma chain AtpG","ATP synthase gamma chain (ATP synthase A,F1 sector gamma subunit) (F-ATPase gamma subunit)","Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,NO,,,YES,,,,,,,,,,,,
P0ABB0,ATPA_ECOLI,atpA,"cytoplasmic peripheral IM protein, ATP synthase subunit alpha AtpA","ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase A,F1 sector subunit alpha) (F-ATPase subunit alpha)","Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,NO,,,YES,,,,,,,,,,,,
P0ABB4,ATPB_ECOLI,atpD,"cytoplasmic peripheral IM protein, ATP synthase subunit beta AtpD","ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase A,F1 sector subunit beta) (F-ATPase subunit beta)","Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,NO,,YES,YES,,,,,,,,,,,,
P0ABB8,ATMA_ECOLI,mgtA,"integral IM protein (SEC in IM), Magnesium-transporting ATPase, P-type 1 MgtA","Magnesium-transporting ATPase, P-type 1 (EC 3.6.3.2) (Mg(2+) transport ATPase, P-type 1)",Integral Inner Membrane ,B,Integral Inner Membrane,YES,,YES,,,,,,,,,,,,,
P0ABC0,ATPZ_ECOLI,atpI,"integral IM protein (SEC-YidC in IM), ATP synthase I AtpI",ATP synthase protein I,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P0ABC3,HFLC_ECOLI,hflC,"integral IM protein (SEC in IM), Modulator of FtsH protease HflC ",Modulator of FtsH protease HflC,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,,,,,,,,,,,,,,
P0ABC7,HFLK_ECOLI,hflK,"integral IM protein (SEC in IM), Modulator of FtsH protease HflK ",Modulator of FtsH protease HflK,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
